,host,url,xpath
99,https://www.e-katalog.ru/,https://www.e-katalog.ru/ELECTRO-VOICE-ZLX15P.htm,"//*[@id=""price_889018""]/span[1]"
100,https://www.labirint.ru/,https://www.labirint.ru/books/493604/,"//*[@id=""product-specs""]/div[1]/div[6]/div[2]/div[2]/span[1]"
101,https://www.kid-edu.ru/,https://www.kid-edu.ru/catalog/sportivnoe_oborudovanie_i_inventar_1/khudozhestvennaya_gimnastika/lenty_dlya_khudozhestvennoy_gimnastiki/96888/,"//*[@id=""bx_117848907_96888_price""]"
102,https://mivex.ru/,https://mivex.ru/nabor-bulav-gimnasticheskih-l-350-mm-2-sht,"//*[@id=""product""]/ul[2]/li"
103,https://detsad-shop.ru/,https://detsad-shop.ru/detskiy-sportivnyy-inventar-ru/detskiy-sportivnyy-inventar/obruch-d-60sm-oblegchennyj.html,"//*[@id=""sec_discounted_price_1334""]"
104,https://rusexpress.ru/,https://rusexpress.ru/products/obruch-diametr-80-cm-cvet-goluboy?utm_campaign=Ekb&utm_content=5054586&utm_medium=cpc&utm_source=yamarket&utm_term=5054586&ymclid=16087380563693849436600007,/html/body/div[7]/main/div/div[3]/div[3]/div[1]/div[1]/div[2]/div[11]/div/div[2]/div/div[1]/div/div/div[1]
105,http://www.povsport.ru/,http://www.povsport.ru/catalog/oborudovanie_dlya_sportzala/veselye_starty/149663/,"//*[@id=""bx_117848907_149663_price""]"
106,https://mhlopka.ru/,https://mhlopka.ru/lenta-gimnacticheckaya-shir-2-5cm-na-kol-ce-0-5-m-art-ii28.html,"//*[@id=""content""]/div[1]/div[2]/div[4]/div[1]/div/span"
107,https://td-pd.ru/,https://td-pd.ru/oborudovanie-dlya-detskogo-sada/sportivnoe-oborudovanie/oborudovanie-dlya-sportivnogo-zala/flazhki-sultanchiki-flazhnyye-lenty/sultanchiki/sultanchik-na-kolce-fontanchik.html,"//*[@id=""main-product-price price""]/span"
108,https://krasnodar.domsporta.com/,https://krasnodar.domsporta.com/goods/shchit_dlya_metaniya_v_tsel_m1113_mishen_navesnaya_na_stenku_gimnasticheskuyu_70kh70sm/,"//*[@id=""all""]/section/div[3]/div/div/div[2]/div[3]/div[1]/span"
